Brand,Year,Mileage,Fuel,Transmission,Price
Hyundai,2018,40000,Petrol,Manual,550000
Maruti,2017,50000,Diesel,Manual,450000
Honda,2019,30000,Petrol,Automatic,750000
Toyota,2020,20000,Diesel,Automatic,950000
Hyundai,2016,60000,Petrol,Manual,400000
Ford,2018,45000,Diesel,Manual,500000
BMW,2021,15000,Petrol,Automatic,2500000
Audi,2020,25000,Diesel,Automatic,2800000
Maruti,2015,70000,Petrol,Manual,300000
Tata,2019,35000,Diesel,Manual,600000
Hyundai,2018,40000,Petrol,Manual,550000
Maruti,2017,50000,Diesel,Manual,450000
Honda,2019,30000,Petrol,Automatic,750000
Toyota,2020,20000,Diesel,Automatic,950000
Hyundai,2016,60000,Petrol,Manual,400000
Ford,2018,45000,Diesel,Manual,500000
BMW,2021,15000,Petrol,Automatic,2500000
Audi,2020,25000,Diesel,Automatic,2800000
Maruti,2015,70000,Petrol,Manual,300000
Tata,2019,35000,Diesel,Manual,600000
Hyundai,2022,5000,Petrol,Manual,850000
Maruti,2021,12000,Petrol,Manual,650000
Honda,2018,45000,Petrol,Manual,580000
Toyota,2017,60000,Diesel,Manual,550000
Tata,2022,8000,Diesel,Automatic,1200000
Mahindra,2020,30000,Diesel,Manual,900000
Mahindra,2018,50000,Diesel,Manual,700000
Kia,2021,15000,Petrol,Automatic,1400000
Kia,2019,35000,Diesel,Manual,950000
BMW,2019,40000,Diesel,Automatic,2100000
Audi,2018,50000,Petrol,Automatic,2300000
Maruti,2020,25000,Petrol,Manual,520000
Hyundai,2019,32000,Diesel,Manual,620000
Toyota,2022,2000,Petrol,Automatic,1100000
Tata,2021,10000,Petrol,Manual,580000
